dataset,dataset_label,player,player_key,source,source_label,source_kind,source_interpretation,target,horizon,n,positive_n,negative_n,positive_avg_return,negative_avg_return,side_edge_pp,positive_hit_rate,negative_hit_rate,positive_avg_drawdown,negative_avg_drawdown,hac_t,hac_p,better_side,abs_side_edge_pp,evidence
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,528,478,50,0.24512975066689074,0.4419001270580448,-0.19677037639115408,61.29707112970711,70.0,-1.036134935568418,-1.3199137634608413,-0.5451812652162007,0.5856288553729712,negative,0.19677037639115408,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,1w,528,107,421,0.27632868245026665,0.2605697343218468,0.015758948128419825,66.35514018691589,61.04513064133017,-0.8484548852309957,-1.1175380395606396,0.08571252294888748,0.9316949468929778,positive,0.015758948128419825,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,4w,525,475,50,1.0083584049202632,1.695192678323722,-0.6868342734034587,69.6842105263158,74.0,-2.4839387882919968,-2.704292963052189,-0.7035595494922074,0.48170710963893865,negative,0.6868342734034587,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,4w,525,104,421,0.7664722381014468,1.1496835237310228,-0.38321128562957596,69.23076923076923,70.30878859857482,-2.2687785373463876,-2.563260343722764,-0.7654238439159781,0.4440191991029427,negative,0.38321128562957596,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,13w,516,466,50,3.284736358438192,4.775046907440584,-1.4903105490023916,75.7510729613734,84.0,-4.736237167599824,-4.329126015220293,-1.1285939334706927,0.2590691710180939,negative,1.4903105490023916,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,13w,516,96,420,1.8854844034286844,3.781983299226365,-1.8964988957976805,69.79166666666666,78.0952380952381,-5.833562243365613,-4.436954394046271,-1.2522340393101543,0.21048459596410968,negative,1.8964988957976805,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,26w,503,453,50,6.717825517679966,7.371125430241028,-0.6532999125610619,79.02869757174393,86.0,-6.763742294281635,-4.8526499534418575,-0.3282888645698947,0.7426932628466443,negative,0.6532999125610619,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,S&P 500,26w,503,89,414,6.396814612624431,6.8657360640036265,-0.4689214513791953,78.65168539325843,79.95169082125604,-7.569227887616669,-6.359774094163743,-0.20992876051879977,0.8337232747087773,negative,0.4689214513791953,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,1w,528,478,50,0.3507844631112109,0.7965026554320823,-0.4457181923208714,58.78661087866108,72.0,-1.4034475769915133,-1.4957048012556264,-0.992355786802134,0.3210239986529415,negative,0.4457181923208714,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,1w,528,107,421,0.4172689755705802,0.3868226264909997,0.030446349079580493,61.6822429906542,59.61995249406176,-1.2110209313882814,-1.4633110266180016,0.12021757091293003,0.9043107991435403,positive,0.030446349079580493,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,4w,525,475,50,1.5153208776557365,2.389677108156723,-0.8743562305009864,68.0,72.0,-3.1313898425025766,-3.2926022207043752,-0.7824184917728781,0.4339686698346359,negative,0.8743562305009864,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,4w,525,104,421,1.2816012141830664,1.6768996342500524,-0.395298420066986,64.42307692307693,69.35866983372921,-2.8558196483127665,-3.218610552967731,-0.5772297371673062,0.5637842711721242,negative,0.395298420066986,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,13w,516,466,50,5.0705666783074355,6.210325541800492,-1.1397588634930562,75.7510729613734,84.0,-5.643951339264112,-5.116114533700351,-0.5910356023752881,0.5544965665255981,negative,1.1397588634930562,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,13w,516,96,420,3.7268418050838696,5.513389371174377,-1.786547566090507,66.66666666666666,78.80952380952381,-6.555309136965641,-5.372803270555695,-1.0932472999446015,0.27428523454525094,negative,1.786547566090507,weak/mixed
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,NASDAQ-100,26w,503,453,50,10.115304530602922,10.875589956223983,-0.7602854256210616,82.33995584988962,84.0,-7.6508717993584865,-5.903085136991559,-0.2861936998387464,0.7747297688344683,negative,0.7602854256210616,none
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,vix_inverse,"VIX only, inverted",single,positive = net short VIX / hedge selling; negative = net long VIX / hedge buying,NASDAQ-100,26w,503,89,414,10.533044832642583,10.117322367316744,0.4157224653258389,91.01123595505618,80.67632850241546,-8.387759096505746,-7.281373483985412,0.1800383375310007,0.8571224709262473,positive,0.4157224653258389,none
tff,TFF Detailed,Leveraged Funds,lev_money,combined,Combined SP+NQ-VIX,combined,positive = equity risk-on net long; negative = equity risk-on net short,S&P 500,1w,528,31,497,-0.1771579954880225,0.291265442719929,-0.4684234382079515,54.83870967741935,62.57545271629779,-2.4834313685789144,-0.9744100904402405,-0.8710866080065629,0.3837068657462394,negative,0.4684234382079515,none
tff,TFF Detailed,Leveraged Funds,lev_money,sp500,S&P 500 only,single,positive = net long S&P 500; negative = net short S&P 500,S&P 500,1w,528,20,508,0.2661220390571215,0.2636704456506566,0.0024515934064648914,65.0,62.00787401574803,-2.1710115276394175,-1.0193857417755068,0.003548800273386696,0.9971684729958603,positive,0.0024515934064648914,none
tff,TFF Detailed,Leveraged Funds,lev_money,nq,NASDAQ-100 only,single,positive = net long NASDAQ-100; negative = net short NASDAQ-100,S&P 500,1w,528,108,420,0.33337528351810825,0.24586308702790552,0.08751219649020273,61.111111111111114,62.38095238095238,-0.8638263911305224,-1.1142260407920224,0.4258846735929609,0.6701918833845029,positive,0.08751219649020273,none
